ticker,date,open,high,low,close,volume,volume_pln
KGH.WA,2024-09-04,132,135.8,131.1,134.6,745197,100303516.2
KGH.WA,2024-09-05,134,134.8,132.85,134.15,541119,72591113.85
KGH.WA,2024-09-06,134.5,134.75,131.55,131.7,724899,95469198.3
KGH.WA,2024-09-09,132,134.35,131.3,133.4,341142,45508342.8
KGH.WA,2024-09-10,133.4,133.75,130.75,131.5,678575,89232612.5
KGH.WA,2024-09-11,132.8,134.5,130.9,131.7,506801,66745691.7
KGH.WA,2024-09-12,134.3,136.5,133.85,135,689514,93084390
KGH.WA,2024-09-13,136,138,134.5,138,442910,61121580
KGH.WA,2024-09-16,138.5,139.35,135.85,138.6,459418,63675334.8
KGH.WA,2024-09-17,139,142.65,139,141,795086,112107126
KGH.WA,2024-09-18,140.2,141.35,139.55,140.75,512885,72188563.75
KGH.WA,2024-09-19,142.8,148.3,142.75,146.15,1085680,158672132
KGH.WA,2024-09-20,146.95,148,145.05,146.85,2137442,313883357.7
KGH.WA,2024-09-23,147,149.85,145.2,149.85,457677,68582898.45
KGH.WA,2024-09-24,156.1,159.4,156,157.15,1415752,222485426.8
KGH.WA,2024-09-25,157.15,157.85,154.7,156.05,618375,96497418.75
KGH.WA,2024-09-26,158.2,165,158.2,163.7,1172255,191898143.5
KGH.WA,2024-09-27,163,164.4,160.3,163.55,927401,151676433.55
KGH.WA,2024-09-30,164.3,166.8,158.25,159.35,1000143,159372787.05
KGH.WA,2024-10-01,160.5,163.25,154,162.05,950959,154102905.95
KGH.WA,2024-10-02,161,163.35,159.85,163.35,511174,83500272.9
KGH.WA,2024-10-03,162.3,163,158.55,158.85,514352,81704815.2
KGH.WA,2024-10-04,158.85,161,157.95,161,362312,58332232
KGH.WA,2024-10-07,161,161.6,158.6,161.6,277379,44824446.4
KGH.WA,2024-10-08,156.2,157.35,154.05,154.9,416144,64460705.6
KGH.WA,2024-10-09,155,156.45,153.45,155,399555,61931025
KGH.WA,2024-10-10,155.7,156,153.15,155.45,326798,50800749.1
KGH.WA,2024-10-11,155.45,158.95,155,158.95,434665,69090001.75
KGH.WA,2024-10-14,158.75,158.75,155.55,156.2,387252,60488762.4
KGH.WA,2024-10-15,154.65,155.5,151.75,153.75,469778,72228367.5
KGH.WA,2024-10-16,154,158.9,153.65,157.7,537460,84757442
KGH.WA,2024-10-17,155.9,156.65,153,153.9,362231,55747350.9
KGH.WA,2024-10-18,156.25,158.55,156.05,157.7,308483,48647769.1
KGH.WA,2024-10-21,160,162.4,159.05,159.55,545134,86976129.7
KGH.WA,2024-10-22,159.55,161.95,158.2,160.1,435614,69741801.4
KGH.WA,2024-10-23,159.3,159.7,153,154.7,649699,100508435.3
KGH.WA,2024-10-24,155.2,157.45,154.1,154.75,356881,55227334.75
KGH.WA,2024-10-25,154.45,156.85,152.8,155.25,430610,66852202.5
KGH.WA,2024-10-28,155.45,155.5,152.55,154.7,326496,50508931.2
KGH.WA,2024-10-29,154,157.15,152.9,154.65,499327,77220920.55
KGH.WA,2024-10-30,155,156.3,149.85,152.2,547498,83329195.6
KGH.WA,2024-10-31,150.1,152.85,148.65,149.45,1270522,189879512.9
KGH.WA,2024-11-04,153.15,153.3,150.15,152.2,440148,66990525.6
KGH.WA,2024-11-05,153,153.6,147.85,149.8,540876,81023224.8
KGH.WA,2024-11-06,149.1,151.9,145.1,145.6,684373,99644708.8
KGH.WA,2024-11-07,148.5,151.45,147.3,151.45,461663,69918861.35
KGH.WA,2024-11-08,151,151.45,145.8,146.65,431869,63333588.85
KGH.WA,2024-11-12,140.25,140.9,133.05,133.15,1838667,244818511.05
KGH.WA,2024-11-13,134,134.9,131.65,133.95,820874,109956072.3
KGH.WA,2024-11-14,132,133.8,126.55,130.65,1293446,168988719.9
KGH.WA,2024-11-15,130.9,132.3,129.35,130.2,1232535,160476057
KGH.WA,2024-11-18,130,130.95,127.55,130.5,633048,82612764
KGH.WA,2024-11-19,131,131.65,125,126.75,570049,72253710.75
KGH.WA,2024-11-20,128,130.1,127.65,129.8,560641,72771201.8
KGH.WA,2024-11-21,131.3,131.8,128.5,130.3,496643,64712582.9
KGH.WA,2024-11-22,130.45,131.5,128.1,130.5,411039,53640589.5
KGH.WA,2024-11-25,132.05,133,129.55,129.95,1076578,139901311.1
KGH.WA,2024-11-26,128.85,130.5,127.7,130,451925,58750250
KGH.WA,2024-11-27,130,130.4,126.9,127.75,489952,62591368
KGH.WA,2024-11-28,127.6,128.4,126,127.35,311255,39638324.25
KGH.WA,2024-11-29,127.3,127.8,126.2,127.25,459959,58529782.75
KGH.WA,2024-12-02,126.5,130.05,125.95,130.05,478339,62207986.95
KGH.WA,2024-12-03,131.6,132.65,128.6,130.45,640963,83613623.35
KGH.WA,2024-12-04,130.95,130.95,128.65,130.05,352436,45834301.8
KGH.WA,2024-12-05,130.5,131.7,129.75,130.4,342777,44698120.8
KGH.WA,2024-12-06,131,131.75,128.65,128.65,273187,35145507.55
KGH.WA,2024-12-09,131,134.55,129.5,133.4,671489,89576632.6
KGH.WA,2024-12-10,132.6,132.8,130.05,130.65,508287,66407696.55
KGH.WA,2024-12-11,130,131.4,128.7,130.55,473580,61825869.0
KGH.WA,2024-12-12,131.85,132.9,127.2,127.2,489695,62289204
